,Logistic_Regression
901,0.4706838824135415
902,0.5158083286282418
903,0.38053689721195866
904,0.6136779749045796
905,0.6934879397938967
906,0.6015546982500531
907,0.7019985530806769
908,0.5160599878525053
909,0.6416305293109291
910,0.5630450719805661
911,0.6474148821395304
912,0.6487573586948454
913,0.5568637848360763
914,0.5841569463928958
915,0.5719395309077184
916,0.5428862438025931
917,0.660163862349585
918,0.5998702142297249
919,0.6899934099711585
920,0.6398857498793278
921,0.7257475625384494
922,0.6301033166106178
923,0.6606997542643213
924,0.5734238182579499
925,0.5758757212426013
926,0.591558872836679
927,0.6351010183878112
928,0.44516359669928973
929,0.38934188650524376
930,0.5802047657975946
931,0.5050632653032929
932,0.37696035861681515
933,0.5555932420846853
934,0.638227498021378
935,0.5867838415020169
936,0.4001530479704596
937,0.47460729289256093
938,0.5618382282218699
939,0.2867055645523029
940,0.4897031686938999
941,0.11460409468491373
942,0.40601803708196965
943,0.4764201907128485
944,0.3840552670742397
945,0.6021188942797407
946,0.5147471981846923
947,0.6568550280798804
948,0.5524721982595363
949,0.5875166058936897
950,0.42154710408073315
951,0.5882840034789371
952,0.664228136329704
953,0.5902091558487222
954,0.545376894090562
955,0.6631402136569019
956,0.676364731174434
957,0.6277011412039623
958,0.6538467032251243
959,0.6704543731044758
960,0.6713028075893145
961,0.6260745102392427
962,0.6175681792284758
963,0.5748993774626449
964,0.5931930596175664
965,0.5896678386579365
966,0.5590355622923042
967,0.6191587872547974
968,0.6553464349795611
969,0.6208817094216914
970,0.7766795796531121
971,0.636323771734002
972,0.3539512915872683
973,0.6925386569371543
974,0.36936256713990445
975,0.5505948458746608
976,0.24323712458922678
977,0.3273233607547952
978,0.33344773841571335
979,0.2786337936646354
980,0.08722567741282891
981,0.19590163519372814
982,0.4057900541607568
983,0.24145548749422213
984,0.5116401273986779
985,0.5826309612749663
986,0.6286215002851883
987,0.58271873837993
988,0.6984851905488273
989,0.5878490759298721
990,0.5540814043324532
991,0.513149403411944
992,0.6865062543194195
993,0.5695245447457837
994,0.5381983176425625
995,0.5402766330344323
996,0.48804365006543793
997,0.6571110614146163
998,0.5971194552425745
999,0.5937625977263715
1000,0.6844128156911342
1001,0.7271665108599656
1002,0.7172299715381365
1003,0.6388607753374398
1004,0.673143030627177
1005,0.6509731411973174
1006,0.5656453805329669
1007,0.6153141730882198
1008,0.5060515704734033
1009,0.4461187810346583
1010,0.6787520631229063
1011,0.6573064508057977
1012,0.6484981141957318
1013,0.32073547391439355
1014,0.5865438754037179
1015,0.23722304820205173
1016,0.5647644445633306
